"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 23, 2015","36,111","35,830","36,194","35,805","20.19K","0.89"
"Apr 22, 2015","35,791","36,080","36,320","35,591","24.13K","-1.01"
"Apr 21, 2015","36,157","36,205","36,515","36,031","22.13K","0.23"
"Apr 20, 2015","36,074","36,777","36,777","35,950","24.86K","-1.05"
"Apr 17, 2015","36,455","36,428","36,890","36,369","23.16K","-0.09"
"Apr 16, 2015","36,487","36,618","36,850","36,125","21.49K","-0.26"
"Apr 15, 2015","36,581","36,282","36,639","36,066","18.48K","0.70"
"Apr 14, 2015","36,325","36,380","36,570","35,900","18.28K","-0.64"
"Apr 13, 2015","36,560","36,731","36,820","36,423","17.24K","-0.42"
"Apr 10, 2015","36,713","36,444","37,164","36,317","24.91K","1.19"
"Apr 09, 2015","36,283","36,777","36,777","36,085","22.16K","-1.83"
"Apr 08, 2015","36,958","37,718","37,840","36,761","21.92K","-1.93"
"Apr 07, 2015","37,687","38,140","38,140","37,563","17.49K","-1.25"
"Apr 06, 2015","38,163","37,635","38,588","37,635","23.54K","2.18"
"Apr 02, 2015","37,349","37,700","37,729","37,107","14.21K","-1.45"
"Apr 01, 2015","37,900","37,344","38,080","37,030","25.59K","1.97"
"Mar 31, 2015","37,169","37,336","37,671","37,044","20.63K","-0.79"
"Mar 30, 2015","37,466","38,200","38,200","37,412","18.92K","-2.42"
"Mar 27, 2015","38,395","38,319","38,650","37,925","18.98K","-0.56"
"Mar 26, 2015","38,613","38,258","39,090","38,258","22.74K","1.19"
"Mar 25, 2015","38,158","37,870","38,340","37,750","18.35K","0.44"
"Mar 24, 2015","37,991","37,751","38,098","37,669","20.02K","0.56"
"Mar 23, 2015","37,781","37,721","37,990","37,333","19.47K","-0.02"
"Mar 20, 2015","37,789","36,466","37,825","36,239","31.87K","3.90"
"Mar 19, 2015","36,371","35,500","36,436","35,500","25.48K","3.00"
"Mar 18, 2015","35,312","35,331","35,468","35,130","17.82K","-0.12"
"Mar 17, 2015","35,356","35,425","35,650","35,019","23.55K","-0.58"
