"","Symbol","Series","Date","Prev.Close","Open.Price","High.Price","Low.Price","Last.Price","Close.Price","Average.Price","Total.Traded.Quantity","Turnover","No..of.Trades","Deliverable.Qty","X..Dly.Qt.to.Traded.Qty"
"544","GOLDBEES","EQ","20-Apr-2015",2443.6,2446,2469.6,2446,2461.6,2461.15,2458.44,17854,43892941.2,2292,11560,64.75
"545","GOLDBEES","EQ","21-Apr-2015",2461.15,2469.95,2488.9,2462.05,2475,2479.45,2474.07,54844,135687968.1,11191,31698,57.8
"546","GOLDBEES","EQ","22-Apr-2015",2479.45,2479.95,2480,2447.1,2465,2460.1,2457.18,13657,33557681.7,1696,7643,55.96
"547","GOLDBEES","EQ","23-Apr-2015",2460.1,2450,2454.4,2431,2440,2444.15,2441.73,13708,33471174.1,1450,7158,52.22
"548","GOLDBEES","EQ","24-Apr-2015",2444.15,2450,2463.85,2445.1,2456.05,2459.6,2458.99,28269,69513314.1,1524,22116,78.23
"549","GOLDBEES","EQ","27-Apr-2015",2459.6,2440.15,2455,2440.15,2445,2445.35,2448.71,11787,28862958.55,1810,8225,69.78
"550","GOLDBEES","EQ","28-Apr-2015",2445.35,2455.15,2477,2455.15,2462.1,2463.45,2470.61,13796,34084599.9,1589,8825,63.97
"551","GOLDBEES","EQ","29-Apr-2015",2463.45,2471.2,2483.2,2471.2,2474,2473.55,2477.34,12996,32195451.2,1351,9106,70.07
"552","GOLDBEES","EQ","30-Apr-2015",2473.55,2479.85,2490,2471.5,2484,2484.25,2480.93,25011,62050528.25,1673,18987,75.91
"553","GOLDBEES","EQ","04-May-2015",2484.25,2465,2474.5,2445,2453,2452.75,2458.58,7566,18601586.65,2528,4020,53.13
"554","GOLDBEES","EQ","05-May-2015",2452.75,2450,2461.8,2446,2447.55,2448.05,2454.3,6830,16762873.3,1558,3908,57.22
"555","GOLDBEES","EQ","06-May-2015",2448.05,2451.05,2481,2451.05,2460,2460.25,2466.44,32459,80058298.35,2071,22530,69.41
"556","GOLDBEES","EQ","07-May-2015",2460.25,2461,2472.6,2455.35,2466,2468.4,2464.67,16837,41497581,2181,10497,62.34
"557","GOLDBEES","EQ","08-May-2015",2468.4,2470,2473,2460.1,2467.95,2464.25,2466.32,7204,17767349.2,1097,3989,55.37
"558","GOLDBEES","EQ","11-May-2015",2464.25,2469.85,2469.85,2458.2,2458.25,2461.1,2462.97,7193,17716147.5,1464,4208,58.5
"559","GOLDBEES","EQ","12-May-2015",2461.1,2460,2475,2460,2474.5,2470.9,2470.23,12172,30067614.1,1374,7020,57.67
"560","GOLDBEES","EQ","13-May-2015",2470.9,2475.05,2495,2475.05,2485,2484.3,2487.55,11171,27788445.9,1392,7264,65.03
"561","GOLDBEES","EQ","14-May-2015",2484.3,2524,2525,2493,2515.55,2516.6,2516.21,21603,54357738.9,2238,13514,62.56
"562","GOLDBEES","EQ","15-May-2015",2516.6,2511,2517.85,2505,2505.15,2506.55,2511.87,8210,20622416.6,1564,4193,51.07
"563","GOLDBEES","EQ","18-May-2015",2506.55,2507.5,2535,2507.5,2527.6,2531.5,2526.42,25043,63269144.5,2025,17883,71.41
"564","GOLDBEES","EQ","19-May-2015",2531.5,2527.9,2527.9,2511.05,2511.05,2512.85,2516.84,9349,23529958.5,977,6244,66.79
"565","GOLDBEES","EQ","20-May-2015",2512.85,2508,2508,2487,2499.9,2497.45,2493.69,8105,20211360.9,1110,4091,50.48
"566","GOLDBEES","EQ","21-May-2015",2497.45,2494.25,2501.3,2493.1,2501,2499.55,2498.53,7541,18841421.4,1021,4064,53.89
"567","GOLDBEES","EQ","22-May-2015",2499.55,2498,2498,2481,2481.05,2483.75,2488.3,6951,17296190.6,1111,4274,61.49
"568","GOLDBEES","EQ","25-May-2015",2483.75,2479.85,2483,2473.55,2481,2479.35,2479.02,6112,15151761.5,1291,4202,68.75
"569","GOLDBEES","EQ","26-May-2015",2479.35,2478,2485.75,2470.55,2471.5,2473,2478.4,9517,23586913.6,1315,5138,53.99
